category,subdir,file,run_class,n_comp,n_units,n_streams,unit_ops,prop_method,in_units,analysis,analysis_kw,kinetics,temp_range,pres_range,n_conn,topology,parse_ok,err
Getting Started,EO,EOGSG4.bkp,FLOWSHEET,3,3,7,HEATER + HXFLUX + RADFRAC,SRK / STEAMNBS,METCBAR,-,OPTIMIZATION,-,25.00 C,-0.10~25.00 bar,2,HEATER > HXFLUX > RADFRAC | 2条连接,OK,-
Getting Started,Electrolytes,elec1.bkp,FLOWSHEET,8,2,5,FLASH2 + MIXER,ENRTL-RK / ELECNRTL,METCBAR,-,OPTIMIZATION,-,25.00 C,1.00 bar,1,FLASH2 > MIXER | 1条连接,OK,-
Getting Started,Electrolytes,elec2.bkp,FLOWSHEET,11,1,4,RADFRAC,ENRTL-RK / ELECNRTL,ENG,-,OPTIMIZATION,-,87.80 C,1.03 bar,-,RADFRAC,OK,-
Getting Started,Petroleum,blend.bkp,PROP,11,-,-,-,IDEAL,ENGPETRO,-,OPTIMIZATION,-,48.90~910.00 C,-,-,-,OK,-
Getting Started,Petroleum,crude.bkp,FLOWSHEET,11,2,16,PETROFRAC,BK10,ENGPETRO,-,OPTIMIZATION,-,48.90~910.00 C,1.08~4.14 bar,1,PETROFRAC | 1条连接,OK,-
Getting Started,Petroleum,pprop.bkp,FLOWSHEET,11,3,21,PETROFRAC,BK10,ENGPETRO,-,OPTIMIZATION,-,48.90~910.00 C,0.14~4.14 bar,2,PETROFRAC | 2条连接,OK,-
Getting Started,Petroleum,preflash.bkp,FLOWSHEET,11,1,6,PETROFRAC,BK10,ENGPETRO,-,OPTIMIZATION,-,48.90~910.00 C,2.74~4.14 bar,-,PETROFRAC,OK,-
Getting Started,Petroleum,vacuum.bkp,FLOWSHEET,11,3,21,PETROFRAC,BK10,ENGPETRO,-,OPTIMIZATION,-,48.90~910.00 C,0.14~4.14 bar,2,PETROFRAC | 2条连接,OK,-
Getting Started,Process,flash.bkp,PROP,2,1,3,FLASH2,NRTL,ENG,-,OPTIMIZATION CONV-OPTIONS,-,-,-,-,FLASH2,OK,-
Getting Started,Process,mch.bkp,FLOWSHEET,3,1,4,RADFRAC,UNIFAC,ENG,-,OPTIMIZATION,-,104.40 C,1.10~1.39 bar,-,RADFRAC,OK,-
Getting Started,Process,mchsens.bkp,FLOWSHEET,3,1,4,RADFRAC,UNIFAC,ENG,SENSITIVITY,OPTIMIZATION,-,104.40 C,1.10~1.39 bar,-,RADFRAC,OK,-
Getting Started,Process,mchspec.bkp,FLOWSHEET,3,1,4,RADFRAC,UNIFAC,ENG,DESIGN-SPEC,OPTIMIZATION,-,104.40 C,1.10~1.39 bar,-,RADFRAC,OK,-
Getting Started,Process,thiazole.bkp,PCES,1,-,-,-,ENRTL-RK / ENRTL / NRTL / UNIQUAC / UNIFAC / SRK,ENG,-,OPTIMIZATION,-,-,-,-,-,OK,-
Getting Started,Solids,solid1.bkp,FLOWSHEET,4,2,5,FLASH2 + RSTOIC,IDEAL,ENG,CALCULATOR,OPTIMIZATION,-,25.00~132.20 C,1.01 bar,1,FLASH2 > RSTOIC | 1条连接,OK,-
Getting Started,Solids,solid2.bkp,FLOWSHEET,16,5,11,FLASH2 + RGIBBS + RSTOIC + RYIELD + SSPLIT,IDEAL,ENG,CALCULATOR,OPTIMIZATION,-,25.00~132.20 C,1.01 bar,4,FLASH2 > RGIBBS > RSTOIC > RYIELD > SSPLIT | 4条连接,OK,-
Getting Started,Solids,solid3.bkp,FLOWSHEET,16,8,16,CYCLONE + ESP + FABFL + FLASH2 + HEATER + RGIBBS + RSTOIC + RYIELD,IDEAL,ENG,CALCULATOR,OPTIMIZATION,-,25.00~204.40 C,1.01 bar,7,CYCLONE > ESP > FABFL > FLASH2 > HEATER > RGIBBS > RSTOIC > RYIELD | 7条连接,OK,-
Getting Started,Solids,solid4.bkp,FLOWSHEET,4,4,10,CCD + CYCLONE + HYCYC + MIXER,NRTL,ENG,-,OPTIMIZATION,-,32.20~176.70 C,1.03~1.10 bar,3,CCD > CYCLONE > HYCYC > MIXER | 3条连接,OK,-
How To,Data Fit,datafit1.bkp,FLOWSHEET,3,1,2,RBATCH,SYSOP0,SET1,-,OPTIMIZATION,KINETIC POWERLAW RBATCH,25.00~30.00 C,1.00 bar,-,RBATCH,OK,-
How To,Data Fit,datafit2.bkp,FLOWSHEET,2,1,3,RADFRAC,NRTL,ENG,CALCULATOR,OPTIMIZATION,-,25.00 C,1.03 bar,-,RADFRAC,OK,-
How To,Data Regression,drs1.bkp,DRS,2,-,-,-,WILSON / NRTL / UNIQUAC,SET1,-,OPTIMIZATION,-,-,-,-,-,OK,-
How To,-,Hierarchy.bkp,FLOWSHEET,3,7,7,ANALYZER + HEATER + HIERARCHY + HXFLUX + RADFRAC,RK-SOAVE,METCBAR,-,OPTIMIZATION CONV-OPTIONS,-,-50.00~25.00 C,-0.10~22.00 bar,2,ANALYZER > HEATER > HIERARCHY > HXFLUX > RADFRAC | 2条连接,OK,-
Hydrogen,Alkaline electrolysis\Industrial Scale Alkaline Electrolyzer,Industrial Scale Alkaline Electrolyzer.bkp,FLOWSHEET,8,11,17,ELECTROLYZER + FLASH2 + FSPLIT + HEATER + MIXER + PUMP + RSTOIC + SEP,ENRTL-RK / NRTL / NRTL-RK / STEAMNBS,SI,SENSITIVITY CALCULATOR,OPTIMIZATION CONV-OPTIONS,-,25.00~80.00 C,1.00~8.00 bar,12,ELECTROLYZER > FLASH2 > FSPLIT > HEATER > MIXER > PUMP > RSTOIC > SEP | 12条连接,OK,-
Hydrogen,Ammonia decomposition,Ammonia decomposition datafit.bkp,FLOWSHEET,9,2,4,RGIBBS + RPLUG,PC-SAFT / NRTL,US-2,SENSITIVITY,OPTIMIZATION,POWERLAW RPLUG,25.00~400.00 C,1.00 bar,-,RGIBBS > RPLUG,OK,-
