category,subdir,file,run_class,n_comp,n_units,n_streams,unit_ops,prop_method,in_units,analysis,analysis_kw,kinetics,temp_range,pres_range,n_conn,topology,parse_ok,err
Polymers,Polystyrene,ps.bkp,FLOWSHEET,8,6,10,FLASH2 + HEATER + RCSTR + RPLUG,POLYNRTL,METCBAR,SENSITIVITY,OPTIMIZATION CONV-OPTIONS,RCSTR RPLUG,25.00~220.00 C,1.01~2.03 bar,5,FLASH2 > HEATER > RCSTR > RPLUG | 5条连接,OK,-
Polymers,Polystyrene,psea.bkp,FLOWSHEET,6,2,4,MIXER + RBATCH,POLYNRTL,SET1,CALCULATOR,OPTIMIZATION CONV-OPTIONS,RBATCH,50.00~60.00 C,0.98 bar,1,MIXER > RBATCH | 1条连接,OK,-
Polymers,Polystyrene,sbd.bkp,FLOWSHEET,9,1,3,RBATCH,POLYNRTL,SET1,-,OPTIMIZATION CONV-OPTIONS,RBATCH,20.00~75.00 C,10.00 bar,-,RBATCH,OK,-
Polymers,Polystyrene,sty_dist.bkp,FLOWSHEET,8,8,15,PUMP + RADFRAC + RCSTR,POLYNRTL,SET1,SENSITIVITY,OPTIMIZATION CONV-OPTIONS,KINETIC RCSTR,40.00~120.00 C,0.05~6.20 bar,10,PUMP > RADFRAC > RCSTR | 10条连接,OK,-
Polymers,-,pmma.bkp,FLOWSHEET,5,2,4,FLASH2 + RBATCH,POLYNRTL,MET,CALCULATOR,OPTIMIZATION CONV-OPTIONS,RBATCH,-0.10~60.00 C,0.13~0.98 bar,1,FLASH2 > RBATCH | 1条连接,OK,-
Polymers,-,polyacrylate.bkp,FLOWSHEET,14,11,20,CFUGE + COMPR + DRYER + FLASH2 + FSPLIT + HEATER + MIXER + RBATCH,PNRTL-IG / POLYNRTL,US-1,-,OPTIMIZATION CONV-OPTIONS,RBATCH,-10.00~180.00 C,-0.10~4.00 bar,12,CFUGE > COMPR > DRYER > FLASH2 > FSPLIT > HEATER > MIXER > RBATCH | 12条连接,OK,-
Polymers,-,polydrs.bkp,DRS,3,-,-,-,POLYSL,SI,-,OPTIMIZATION,-,-,-,-,-,OK,-
Polymers,-,polyfit.bkp,FLOWSHEET,5,1,2,RBATCH,POLYNRTL,SET1,-,OPTIMIZATION,RBATCH,64.50~65.00 C,0.98 bar,-,RBATCH,OK,-
Polymers,-,polyfracOlig.bkp,FLOWSHEET,13,1,5,FLASH3,POLYFH,ENG,-,OPTIMIZATION CONV-OPTIONS,-,38.60 C,1.01 bar,-,FLASH3,OK,-
Polymers,-,polypro.bkp,PROP,3,-,-,-,POLYNRTL,US-1,-,OPTIMIZATION,-,-,0.98 bar,-,-,OK,-
Polymers,-,polytut.bkp,FLOWSHEET,8,3,5,MIXER + RCSTR,POLYNRTL,SET1,-,OPTIMIZATION CONV-OPTIONS,RCSTR,70.00 C,0.98~1.96 bar,2,MIXER > RCSTR | 2条连接,OK,-
Power,Coal Gasification,igcc.bkp,FLOWSHEET,45,282,256,COMPR + CRUSHER + FLASH2 + FSPLIT + HEATER + HEATX + HIERARCHY + MHEATX + MIXER + PUMP + RADFRAC + REQUIL + RGIBBS + RSTOIC + SCREEN + SEP + SSPLIT,PENG-ROB / BWRS / ELECNRTL / IDEAL / PR-BM,ENG,DESIGN-SPEC CALCULATOR,OPTIMIZATION CONV-OPTIONS,-,-188.20~574.40 C,-4.41~173.52 bar,186,COMPR > CRUSHER > FLASH2 > FSPLIT > HEATER > HEATX > HIERARCHY > MHEATX | 186条连接,OK,-
Power,Coal Gasification,pipelinegas.bkp,FLOWSHEET,18,89,76,COMPR + CRUSHER + FLASH2 + FSPLIT + HEATER + HEATX + HIERARCHY + MHEATX + MIXER + PUMP + REQUIL + RGIBBS + RSTOIC + RYIELD + SCREEN + SEP + SSPLIT,PR-BM / IDEAL / RKS-BM / SOLIDS / STEAMNBS,ENG,CALCULATOR,OPTIMIZATION CONV-OPTIONS,-,25.00~908.20 C,0.34~44.82 bar,51,COMPR > CRUSHER > FLASH2 > FSPLIT > HEATER > HEATX > HIERARCHY > MHEATX | 51条连接,OK,-
Power,Cogeneration,cogeneration.bkp,FLOWSHEET,9,57,52,COMPR + FLASH2 + FSPLIT + HEATX + HIERARCHY + MIXER + PUMP + RGIBBS,PR-BM / PENG-ROB / STEAMNBS,METCBKW,CALCULATOR,OPTIMIZATION,-,15.00~160.00 C,1.01~76.50 bar,38,COMPR > FLASH2 > FSPLIT > HEATX > HIERARCHY > MIXER > PUMP > RGIBBS | 38条连接,OK,-
Power,Gas Turbine,Natural Gas Combined Cycle (NGCC) Power Plant.bkp,FLOWSHEET,11,31,51,COMPR + FLASH2 + FSPLIT + HEATER + HEATX + MIXER + PUMP + RSTOIC,PENG-ROB,US-2,DESIGN-SPEC,OPTIMIZATION CONV-OPTIONS,-,15.00~585.00 C,-,46,COMPR > FLASH2 > FSPLIT > HEATER > HEATX > MIXER > PUMP > RSTOIC | 46条连接,OK,-
Safety,Pressure Relief,PRRELIEF.bkp,FLOWSHEET,3,1,2,HEATER,IDEAL,ENG,-,OPTIMIZATION CONV-OPTIONS,-,10.00~37.80 C,5.07 bar,-,HEATER,OK,-
Safety,Pressure Relief,Safety Analysis Without PRD.bkp,FLOWSHEET,7,12,17,COMPR + FLASH2 + HEATX + HIERARCHY + PUMP + VALVE,PENG-ROB,SET1,DESIGN-SPEC,OPTIMIZATION,-,16.60~616.00 C,-,7,COMPR > FLASH2 > HEATX > HIERARCHY > PUMP > VALVE | 7条连接,OK,-
Solids Modeling,Batch Dryer,Batch drying.bkp,FLOWSHEET,4,2,4,DRYER + TRANSFER,NRTL,MINCBAR,SENSITIVITY CALCULATOR,OPTIMIZATION CONV-OPTIONS,-,27.00~45.00 C,1.00 bar,-,DRYER > TRANSFER,OK,-
Solids Modeling,Belt Dryer,1 Belt Dryer Base Case.bkp,FLOWSHEET,3,27,40,COMPR + DRYER + FSPLIT + HEATER + MIXER,IDEAL,SI,CALCULATOR,OPTIMIZATION CONV-OPTIONS,-,20.00~120.00 C,1.00 bar,36,COMPR > DRYER > FSPLIT > HEATER > MIXER | 36条连接,OK,-
Solids Modeling,Belt Dryer,2 Belt Dryer With Cooling Stage.bkp,FLOWSHEET,3,28,42,COMPR + DRYER + FSPLIT + HEATER + MIXER,IDEAL,SI,SENSITIVITY OPTIMIZATION CALCULATOR,CONV-OPTIONS,-,20.00~120.00 C,1.00 bar,38,COMPR > DRYER > FSPLIT > HEATER > MIXER | 38条连接,OK,-
Solids Modeling,Conceptual Modeling,Conceptual Model Example.bkp,FLOWSHEET,8,9,14,CFUGE + COMPR + CRYSTALLIZER + DRYER + FLASH2 + HEATER + MIXER + RSTOIC,NRTL-RK / NRTL / NRTL-2,REPORT,OPTIMIZATION,CONV-OPTIONS,REAC-DIST,-15.00~150.50 C,0.98 bar,9,CFUGE > COMPR > CRYSTALLIZER > DRYER > FLASH2 > HEATER > MIXER > RSTOIC | 9条连接,OK,-
Solids Modeling,Contact Dryer,Contact Dryer TPA Example.bkp,FLOWSHEET,5,5,10,CFUGE + COMPR + CRYSTALLIZER + DRYER + HEATER,IDEAL / ELECNRTL,SI,SENSITIVITY CALCULATOR,OPTIMIZATION CONV-OPTIONS,-,20.00~240.00 C,1.00~1.20 bar,4,CFUGE > COMPR > CRYSTALLIZER > DRYER > HEATER | 4条连接,OK,-
Solids Modeling,Crushing,Crushing.bkp,FLOWSHEET,1,9,14,CRUSHER + MIXER + SCREEN,IDEAL,METSOLID,SENSITIVITY CALCULATOR,OPTIMIZATION CONV-OPTIONS,-,25.00 C,1.00 bar,11,CRUSHER > MIXER > SCREEN | 11条连接,OK,-
Solids Modeling,FB Agglomerator,FB Agglomerator Demo.bkp,FLOWSHEET,6,5,10,COMPR + CRUSHER + GRANULATOR + HEATER + MIXER,IDEAL,METSOLID,SENSITIVITY,OPTIMIZATION,-,20.00~100.00 C,1.00 bar,4,COMPR > CRUSHER > GRANULATOR > HEATER > MIXER | 4条连接,OK,-
Solids Modeling,Flash Dryer,Single Stage Flash Dryer Demo.bkp,FLOWSHEET,3,11,14,COMPR + CYCLONE + DRYER + FABFL + HEATER + HIERARCHY + MIXER + PIPE,IDEAL,METCBAR,OPTIMIZATION CALCULATOR,CONV-OPTIONS,-,20.00~300.00 C,-,7,COMPR > CYCLONE > DRYER > FABFL > HEATER > HIERARCHY > MIXER > PIPE | 7条连接,OK,-
Solids Modeling,Fluidized Bed Dryer,Multi Stage Fluidized Bed Dryer.bkp,FLOWSHEET,3,39,30,CLASSIFIER + COMPR + CYCLONE + DRYER + ESP + FSPLIT + HEATER + HIERARCHY + MIXER,IDEAL,METCBAR,CALCULATOR,OPTIMIZATION CONV-OPTIONS,-,20.00~126.80 C,1.00~1.05 bar,12,CLASSIFIER > COMPR > CYCLONE > DRYER > ESP > FSPLIT > HEATER > HIERARCHY | 12条连接,OK,-
Solids Modeling,Fluidized Bed Reactor,Fluidized bed reactor demo.bkp,FLOWSHEET,12,5,10,CYCLONE + FLUIDBED + HEATER + MIXER,ELECNRTL / IDEAL,MET,CALCULATOR,OPTIMIZATION CONV-OPTIONS,KINETIC POWERLAW,20.00~300.00 C,0.98~2.00 bar,5,CYCLONE > FLUIDBED > HEATER > MIXER | 5条连接,OK,-
Solids Modeling,Fluidized Bed,CFB_Example.bkp,FLOWSHEET,2,10,17,COMPR + CYCLONE + FABFL + FLUIDBED + FSPLIT + HEATER + MIXER + PIPELINE,IDEAL,METSOLID,SENSITIVITY CALCULATOR,OPTIMIZATION CONV-OPTIONS,-,20.00~80.00 C,1.00 bar,12,COMPR > CYCLONE > FABFL > FLUIDBED > FSPLIT > HEATER > MIXER > PIPELINE | 12条连接,OK,-
Solids Modeling,Granulation,Granulation Example.bkp,FLOWSHEET,8,34,39,CLASSIFIER + COMPR + CRUSHER + DRYER + FSPLIT + GRANULATOR + HEATER + HIERARCHY + MIXER + SCREEN,SR-POLAR,USER,SENSITIVITY CALCULATOR,OPTIMIZATION CONV-OPTIONS,-,20.00~132.00 C,0.98~3.00 bar,20,CLASSIFIER > COMPR > CRUSHER > DRYER > FSPLIT > GRANULATOR > HEATER > HIERARCHY | 20条连接,OK,-
Solids Modeling,Mill Drying,Mill Drying Demo.bkp,FLOWSHEET,8,19,19,CLASSIFIER + COMPR + CRUSHER + DRYER + FABFL + FSPLIT + HIERARCHY + MIXER + RSTOIC + SEP2,ELECNRTL,METCBAR,SENSITIVITY CALCULATOR,OPTIMIZATION CONV-OPTIONS,-,20.00~118.00 C,-0.01~1.02 bar,12,CLASSIFIER > COMPR > CRUSHER > DRYER > FABFL > FSPLIT > HIERARCHY > MIXER | 12条连接,OK,-
Solids Modeling,Multiple Particle Types,Multiple Substreams Demo.bkp,FLOWSHEET,3,2,5,SCREEN,IDEAL,METCBAR,-,OPTIMIZATION,-,20.00 C,1.00 bar,1,SCREEN | 1条连接,OK,-
Solids Modeling,PSD Definition,1 Empty mesh.bkp,FLOWSHEET,1,1,2,CRUSHER,ENRTL-RK / ENRTL / UNIFAC / SRK / PC-SAFT / SOLIDS,METCBAR,-,OPTIMIZATION,-,20.00 C,1.00 bar,-,CRUSHER,OK,-
Solids Modeling,Parameter Adjustment,1 ScreenDataFit_PropSet.bkp,FLOWSHEET,1,1,3,SCREEN,IDEAL,METCBAR,-,OPTIMIZATION,-,20.00 C,1.00 bar,-,SCREEN,OK,-
Solids Modeling,Parameter Adjustment,2 ParameterFitScreenPSD.bkp,FLOWSHEET,8,1,3,SCREEN,ELECNRTL,SET1,-,OPTIMIZATION CONV-OPTIONS,-,20.00 C,1.00 bar,-,SCREEN,OK,-
Solids Modeling,Pneumatic Conveying,PressureConveyingPipe.bkp,FLOWSHEET,2,8,10,COMPR + FABFL + MIXER + PIPE + TRANSFER,IDEAL,METSOLID,OPTIMIZATION CALCULATOR,CONV-OPTIONS,-,20.00 C,1.00 bar,6,COMPR > FABFL > MIXER > PIPE > TRANSFER | 6条连接,OK,-
Solids Modeling,Pneumatic Conveying,VacuumConveyingPipeline.bkp,FLOWSHEET,2,4,7,COMPR + FABFL + MIXER + PIPELINE,IDEAL,METSOLID,DESIGN-SPEC CALCULATOR,OPTIMIZATION CONV-OPTIONS,-,20.00 C,1.00 bar,3,COMPR > FABFL > MIXER > PIPELINE | 3条连接,OK,-
Solids Modeling,Potassium Chloride and Economics,1. Potassium Chloride Crystallization_BaseCase Demo.bkp,FLOWSHEET,8,33,43,CFUGE + CLASSIFIER + COMPR + CRUSHER + CRYSTALLIZER + CYCLONE + DRYER + FSPLIT + GRANULATOR + HEATER + HEATX + HIERARCHY + HYCYC + MIXER + PUMP + RSTOIC + SCREEN,ELECNRTL,REPORT,OPTIMIZATION,CONV-OPTIONS,-,20.00~350.00 C,-0.10~4.00 bar,35,CFUGE > CLASSIFIER > COMPR > CRUSHER > CRYSTALLIZER > CYCLONE > DRYER > FSPLIT | 35条连接,OK,-
Solids Modeling,Potassium Chloride and Economics,2. Potassium Chloride Crystallization_DesignAlternative.bkp,FLOWSHEET,8,37,45,CFUGE + CLASSIFIER + COMPR + CRUSHER + CRYSTALLIZER + CYCLONE + DRYER + FSPLIT + GRANULATOR + HEATER + HEATX + HIERARCHY + HYCYC + MIXER + PUMP + RSTOIC + SCREEN + TRANSFER,ELECNRTL,REPORT,OPTIMIZATION,CONV-OPTIONS,-,20.00~350.00 C,1.00~4.00 bar,47,CFUGE > CLASSIFIER > COMPR > CRUSHER > CRYSTALLIZER > CYCLONE > DRYER > FSPLIT | 47条连接,OK,-
Solids Modeling,Spray Drying,Spray Dryer Example.bkp,FLOWSHEET,3,8,13,COMPR + CYCLONE + DRYER + FABFL + HEATER + MIXER + PUMP,IDEAL,USER,SENSITIVITY OPTIMIZATION CALCULATOR,CONV-OPTIONS,-,20.00~200.00 C,-,8,COMPR > CYCLONE > DRYER > FABFL > HEATER > MIXER > PUMP | 8条连接,OK,-
Upstream,-,Aspen_Plus_Scaling_Model.bkp,FLOWSHEET,30,1,3,FLASH2,ENRTL-RK,SI,-,OPTIMIZATION,-,25.00~37.80 C,1.00 bar,-,FLASH2,OK,-
Upstream,-,Aspen_Plus_Scaling_Model_BaCO3_CO2_H2O.bkp,FLOWSHEET,8,1,3,FLASH2,ENRTL-RK,METCBAR,-,OPTIMIZATION,-,20.00 C,-,-,FLASH2,OK,-
Upstream,-,Aspen_Plus_Scaling_Model_CO2_CaCO3_H2O.bkp,FLOWSHEET,8,1,4,FLASH2,ENRTL-RK,METCBAR,-,OPTIMIZATION,-,125.00 C,-,-,FLASH2,OK,-
Upstream,-,Aspen_Plus_Scaling_Model_CO2_MgO_H2O.bkp,FLOWSHEET,11,1,4,FLASH2,ENRTL-RK,METCBAR,-,OPTIMIZATION,-,40.00 C,-,-,FLASH2,OK,-
Upstream,-,Aspen_Plus_Scaling_Model_CO2_SrCO3_H2O.bkp,FLOWSHEET,8,1,4,FLASH2,ENRTL-RK,METCBAR,-,OPTIMIZATION,-,50.00 C,-,-,FLASH2,OK,-
Upstream,-,Aspen_Plus_Scaling_Model_Na2SO4_BaSO4_H2O.bkp,FLOWSHEET,7,1,4,FLASH2,ENRTL-RK,METBARC,-,OPTIMIZATION,-,40.00 C,1.00 bar,-,FLASH2,OK,-
Upstream,-,Aspen_Plus_Scaling_Model_Na2SO4_CaSO4_H2O.bkp,FLOWSHEET,8,1,4,FLASH2,ENRTL-RK,METCBAR,-,OPTIMIZATION,-,50.00 C,1.00 bar,-,FLASH2,OK,-
Upstream,-,Aspen_Plus_Scaling_Model_Na2SO4_SrSO4_H2O.bkp,FLOWSHEET,7,1,4,FLASH2,ENRTL-RK,METBARC,-,OPTIMIZATION,-,25.00 C,1.00 bar,-,FLASH2,OK,-
Upstream,-,Aspen_Plus_Scaling_Model_NaCl_Na2SO4_H2O.bkp,FLOWSHEET,10,1,4,FLASH2,ENRTL-RK,METCBAR,-,OPTIMIZATION,-,38.00 C,1.00 bar,-,FLASH2,OK,-
